transfer_id,buy_price,buy_date,name,wear,uuid,meta_offer_id,stackable,sale_id,offer_date_created,offer_date_trade_unlock,state,offer_date_sold,time_to_sell,commission_factor,selling_price,min_selling_price,profit
GTS6E2SFSALN,1.3,2024-09-04,Sticker | Team Liquid (Holo) | Paris 2023,,,45016993,True,11ca2c05-60fb-4cf0-9972-d89cef956a55,2024-09-05,,SOLD,2024-09-06,1.0,0.15,2.27,1.54,0.63
G3TKZWKRD02L,1.3,2024-09-04,Sticker | Team Liquid (Holo) | Paris 2023,,,45016993,True,d3934d8f-95ee-418d-b866-ffe2ce564464,2024-09-05,,SOLD,2024-09-06,1.0,0.15,2.27,1.54,0.63
G4ZZDGNPS7A8,1.37,2024-09-04,Sticker | Vitality (Holo) | Paris 2023,,,45017001,True,8ba83654-fbc6-4b7a-a9fa-4bbc067654bc,2024-09-05,,SOLD,2024-09-06,1.0,0.15,1.65,1.62,0.03
GAWZH9LAKCU0,1.37,2024-09-04,Sticker | Vitality (Holo) | Paris 2023,,,45017001,True,fded8d8b-2762-4b28-9d0b-c143d110ef81,2024-09-05,,SOLD,2024-09-07,2.0,0.15,1.65,1.62,0.03
GA30UK8CRW28,1.37,2024-09-04,Sticker | Vitality (Holo) | Paris 2023,,,45017001,True,59f0aa5f-0cb5-4174-add1-ebe3b345d87c,2024-09-05,,SOLD,2024-09-07,2.0,0.15,1.65,1.62,0.03
GE3E0U2L2Z97,1.19,2024-09-04,Sticker | FaZe Clan (Holo) | Paris 2023,,,45027435,True,021ce1d7-b640-46cd-9581-13ca3534e048,2024-09-05,,SOLD,2024-09-07,2.0,0.15,1.48,1.41,0.07
G8NU4HND5RF0,0.54,2024-09-08,USP-S | Ticket to Hell (Minimal Wear),9.98,1ce73066-e45f-4492-955e-8621d2fffdf6,54287986,False,1ce73066-e45f-4492-955e-8621d2fffdf6,2024-09-10,2024-09-16,SOLD,2024-09-09,0.0,0.15,0.76,0.65,0.11
G0P2KSHA962C,0.53,2024-09-08,USP-S | Ticket to Hell (Minimal Wear),7.28,4eca0344-982d-456a-bc7e-42da35bc4376,54287982,False,4eca0344-982d-456a-bc7e-42da35bc4376,2024-09-10,2024-09-16,SOLD,2024-09-09,0.0,0.15,0.76,0.64,0.12
G3E7K8X6G2NA,5.1,2024-09-08,Winter Offensive Weapon Case,,,223,True,c64b4de7-481c-4151-bbfa-4f6ea5f1ea30,2024-09-10,,SOLD,2024-09-09,0.0,0.15,6.91,6.01,0.77
G6W406RC3TEH,0.62,2024-09-08,SSG 08 | Acid Fade (Factory New),2.48,91b153b6-4ade-4213-9ea4-c810368163a4,54287972,False,91b153b6-4ade-4213-9ea4-c810368163a4,2024-09-10,2024-09-16,SOLD,2024-09-09,0.0,0.15,0.9,0.74,0.15
